job_title,company,location,experience_level,skills,num_skills,salary_lpa,remote,salary_tier
Research Scientist,PhonePe,Noida,Mid,"Flask, GCP, MongoDB, MLflow, Kubernetes",5,21,0,Mid
Business Analyst,Swiggy,Delhi,Entry,"Flask, Docker, Git, Scala, Kubernetes",5,6,0,Low
Data Analyst,BYJU'S,Mumbai,Lead,"Deep Learning, SQL, TensorFlow",3,49,0,High
Data Scientist,Paytm,Remote,Mid,"AWS, Kubernetes, PostgreSQL, Deep Learning",4,21,1,Mid
AI Engineer,Flipkart,Bangalore,Entry,"Scala, Machine Learning, Computer Vision, Git, Spark, Kubernetes, Python, Statistics",8,18,0,Mid
Data Engineer,Microsoft,Gurgaon,Mid,"dbt, PyTorch, Deep Learning",3,29,0,High
Data Scientist,Microsoft,Bangalore,Mid,"AWS, Docker, Java, R, NLP, Computer Vision",6,27,0,High
NLP Engineer,Flipkart,Remote,Entry,"Git, Azure, FastAPI, Deep Learning",4,7,1,Low
Data Engineer,Zomato,Bangalore,Lead,"PyTorch, Hadoop, Airflow, Azure, Scala, AWS, Tableau, Java",8,59,0,High
Business Analyst,TCS,Chennai,Mid,"Git, NLP, Hadoop, AWS, Excel",5,10,0,Low
AI Engineer,Microsoft,Bangalore,Mid,"AWS, PostgreSQL, dbt, MLflow",4,26,0,High
Data Engineer,Zomato,Bangalore,Senior,"Machine Learning, GCP, FastAPI, Java, Spark",5,39,0,High
NLP Engineer,PhonePe,Hyderabad,Senior,"Hadoop, MongoDB, Deep Learning, Machine Learning",4,43,0,High
ML Engineer,TCS,Pune,Mid,"dbt, Spark, Statistics, AWS, Machine Learning, Computer Vision, FastAPI, Java",8,25,0,Mid
Data Engineer,Wipro,Noida,Senior,"Azure, PostgreSQL, PyTorch, Deep Learning, Spark, Docker",6,21,0,Mid
Business Analyst,Microsoft,Mumbai,Senior,"Flask, GCP, PyTorch, PostgreSQL",4,35,0,High
Business Analyst,Paytm,Hyderabad,Lead,"AWS, Java, SQL, PyTorch, Computer Vision",5,56,0,High
AI Engineer,Microsoft,Pune,Entry,"Scala, Excel, Airflow, Java, Deep Learning",5,22,0,Mid
Data Engineer,TCS,Hyderabad,Lead,"Azure, Kubernetes, FastAPI, Deep Learning, SQL, TensorFlow, PyTorch",7,67,0,High
AI Engineer,TCS,Pune,Mid,"Airflow, Java, FastAPI, Flask, SQL, Git",6,20,0,Mid
Data Analyst,Paytm,Pune,Mid,"Deep Learning, Excel, Flask, Power BI, Airflow, FastAPI, MongoDB, dbt",8,13,0,Mid
Data Analyst,TCS,Gurgaon,Mid,"Computer Vision, Deep Learning, Git",3,15,0,Mid
NLP Engineer,Swiggy,Mumbai,Senior,"Airflow, dbt, Hadoop, Scala",4,31,0,High
ML Engineer,Flipkart,Mumbai,Mid,"Azure, Scala, Python, Docker, Airflow, Java",6,21,0,Mid
ML Engineer,PhonePe,Mumbai,Senior,"PostgreSQL, Deep Learning, dbt, FastAPI, Machine Learning, Computer Vision, NLP",7,43,0,High
Data Scientist,Google,Noida,Mid,"Computer Vision, Kubernetes, Flask, Deep Learning, TensorFlow, Python",6,25,0,Mid
AI Engineer,BYJU'S,Chennai,Mid,"Tableau, dbt, GCP, Docker, Airflow, NLP, R",7,22,0,Mid
Data Scientist,Infosys,Bangalore,Mid,"GCP, Java, NLP, MongoDB, MLflow, Excel, Scala, Hadoop",8,23,0,Mid
ML Engineer,TCS,Pune,Mid,"MLflow, Docker, dbt, Spark, Flask",5,25,0,Mid
Research Scientist,Google,Gurgaon,Mid,"Scala, Hadoop, NLP, Docker, MongoDB, AWS, Deep Learning, Airflow",8,37,0,High
Business Analyst,Paytm,Hyderabad,Entry,"Git, Airflow, Deep Learning",3,5,0,Low
Data Engineer,Flipkart,Bangalore,Senior,"Machine Learning, NLP, Java, Kubernetes, Azure, Tableau",6,31,0,High
ML Engineer,Flipkart,Hyderabad,Senior,"NLP, MLflow, Machine Learning, Docker, Statistics, Excel, R",7,35,0,High
ML Engineer,Paytm,Noida,Entry,"Tableau, PyTorch, Scala",3,14,0,Mid
Data Analyst,Ola,Mumbai,Mid,"Computer Vision, SQL, AWS, Machine Learning, Git",5,10,0,Low
AI Engineer,Ola,Delhi,Entry,"Git, TensorFlow, dbt",3,17,0,Mid
AI Engineer,Wipro,Mumbai,Senior,"Hadoop, Scala, NLP",3,31,0,High
Research Scientist,PhonePe,Delhi,Senior,"NLP, Computer Vision, R, FastAPI, dbt, AWS, Flask",7,50,0,High
Data Analyst,Google,Delhi,Entry,"Computer Vision, MongoDB, Machine Learning, Java",4,18,0,Mid
Research Scientist,Meesho,Gurgaon,Entry,"Spark, Excel, Azure, PyTorch",4,20,0,Mid
Research Scientist,Google,Noida,Lead,"Docker, PyTorch, GCP, Deep Learning, TensorFlow",5,70,0,High
Data Engineer,Infosys,Delhi,Entry,"Deep Learning, GCP, FastAPI, Machine Learning, Python",5,12,0,Mid
AI Engineer,Wipro,Pune,Mid,"Azure, Git, Docker, PyTorch",4,24,0,Mid
Data Scientist,Wipro,Mumbai,Senior,"Java, Computer Vision, Tableau, SQL",4,24,0,Mid
Business Analyst,Paytm,Pune,Mid,"R, Python, dbt, Hadoop, Java, Docker, Machine Learning, MongoDB",8,10,0,Low
Business Analyst,Paytm,Mumbai,Senior,"Statistics, NLP, PostgreSQL, Deep Learning",4,24,0,Mid
Data Scientist,Microsoft,Noida,Entry,"PostgreSQL, NLP, Statistics, Deep Learning, Docker, FastAPI, Python",7,18,0,Mid
ML Engineer,Zomato,Noida,Lead,"Kubernetes, dbt, Flask, Excel, Statistics, SQL, GCP",7,73,0,High
AI Engineer,Flipkart,Mumbai,Senior,"Python, Scala, Statistics, Git, Tableau, Azure, Excel",7,29,0,High
Business Analyst,BYJU'S,Bangalore,Senior,"Spark, Computer Vision, Excel, PostgreSQL, Docker",5,20,0,Mid
Research Scientist,Amazon,Hyderabad,Mid,"Excel, Tableau, NLP, GCP, MLflow",5,29,0,High
Research Scientist,Meesho,Noida,Senior,"FastAPI, Computer Vision, Tableau, R, Python, Flask",6,40,0,High
Data Analyst,Ola,Chennai,Senior,"Deep Learning, Machine Learning, FastAPI",3,30,0,High
Business Analyst,BYJU'S,Remote,Mid,"Airflow, Python, Git, TensorFlow",4,16,1,Mid
Data Scientist,TCS,Mumbai,Senior,"Git, Docker, Airflow, Scala, Python, NLP, Excel",7,35,0,High
Data Analyst,Flipkart,Noida,Lead,"AWS, dbt, Python, Docker, Computer Vision, Power BI",6,39,0,High
Data Analyst,Flipkart,Noida,Entry,"Scala, Hadoop, Docker, Computer Vision, Deep Learning, Java",6,8,0,Low
ML Engineer,TCS,Delhi,Mid,"PostgreSQL, NLP, Statistics, Machine Learning",4,29,0,High
Data Scientist,Microsoft,Remote,Entry,"MongoDB, Machine Learning, AWS, Spark, dbt, PostgreSQL, MLflow",7,22,1,Mid
NLP Engineer,Infosys,Mumbai,Senior,"FastAPI, PyTorch, NLP, Java, Git, Machine Learning, AWS, GCP",8,27,0,High
Data Engineer,Amazon,Mumbai,Entry,"Power BI, Kubernetes, Hadoop",3,17,0,Mid
AI Engineer,Microsoft,Pune,Mid,"MLflow, Python, AWS",3,30,0,High
Business Analyst,Swiggy,Mumbai,Senior,"PyTorch, Hadoop, Python, Scala, NLP, Power BI, Kubernetes",7,30,0,High
Data Scientist,Meesho,Remote,Mid,"Machine Learning, Docker, Flask",3,24,1,Mid
NLP Engineer,BYJU'S,Bangalore,Lead,"Spark, AWS, Tableau, Computer Vision, Excel, Kubernetes",6,71,0,High
Research Scientist,Razorpay,Gurgaon,Mid,"dbt, PostgreSQL, MLflow, SQL, Power BI",5,36,0,High
Data Scientist,Swiggy,Mumbai,Entry,"Hadoop, Spark, GCP, Azure, Docker",5,12,0,Mid
AI Engineer,Swiggy,Bangalore,Mid,"Spark, Machine Learning, Kubernetes, PostgreSQL, GCP",5,27,0,High
Data Scientist,Google,Gurgaon,Mid,"AWS, Spark, Scala, PostgreSQL, Docker, MongoDB, NLP, Flask",8,27,0,High
Data Analyst,Amazon,Delhi,Entry,"Git, Kubernetes, R, Azure",4,21,0,Mid
Data Analyst,PhonePe,Chennai,Mid,"AWS, Airflow, Computer Vision, PyTorch, Java",5,12,0,Mid
Business Analyst,Amazon,Remote,Senior,"Git, R, Deep Learning, Tableau, Spark, AWS, MLflow, Statistics",8,31,1,High
ML Engineer,Swiggy,Bangalore,Mid,"Java, dbt, Kubernetes, NLP, Tableau, MLflow, TensorFlow",7,23,0,Mid
Research Scientist,Amazon,Remote,Lead,"MongoDB, PyTorch, SQL, GCP, Deep Learning, FastAPI, Java, Hadoop",8,58,1,High
ML Engineer,Meesho,Hyderabad,Mid,"MongoDB, Java, Power BI, AWS, Git, NLP",6,17,0,Mid
Data Analyst,Flipkart,Pune,Lead,"PostgreSQL, NLP, Git, Scala",4,46,0,High
Business Analyst,Wipro,Remote,Senior,"Hadoop, PyTorch, dbt",3,35,1,High
AI Engineer,Microsoft,Chennai,Mid,"R, Flask, Excel, Tableau, Git, AWS, PyTorch, GCP",8,32,0,High
Data Engineer,TCS,Hyderabad,Senior,"PostgreSQL, Python, dbt, NLP",4,30,0,High
Business Analyst,Swiggy,Hyderabad,Entry,"Tableau, Python, R, Power BI, Spark, Excel",6,4,0,Low
Data Scientist,Meesho,Mumbai,Senior,"Airflow, Computer Vision, Machine Learning, R, SQL",5,40,0,High
Business Analyst,PhonePe,Chennai,Senior,"dbt, Spark, Azure, Airflow, Tableau",5,21,0,Mid
Data Scientist,Zomato,Hyderabad,Entry,"MLflow, R, Tableau, Statistics, TensorFlow, Python, PostgreSQL",7,8,0,Low
Business Analyst,Zomato,Mumbai,Senior,"Excel, Scala, Tableau, Git, Computer Vision, Azure, PyTorch",7,29,0,High
Data Analyst,Wipro,Gurgaon,Senior,"Spark, FastAPI, dbt, R",4,37,0,High
NLP Engineer,Infosys,Remote,Mid,"NLP, TensorFlow, Docker, Tableau, Hadoop, FastAPI",6,17,1,Mid
ML Engineer,Swiggy,Noida,Senior,"Tableau, Scala, MongoDB, Excel, Python, R",6,35,0,High
Research Scientist,Flipkart,Pune,Entry,"Kubernetes, FastAPI, Git",3,17,0,Mid
ML Engineer,Flipkart,Gurgaon,Mid,"Java, NLP, PyTorch, FastAPI, GCP, AWS, Airflow, Scala",8,22,0,Mid
NLP Engineer,Google,Chennai,Mid,"Hadoop, GCP, Kubernetes, Airflow, TensorFlow",5,28,0,High
Data Engineer,Swiggy,Hyderabad,Mid,"Power BI, TensorFlow, NLP, Docker, PostgreSQL",5,10,0,Low
ML Engineer,Swiggy,Gurgaon,Senior,"Hadoop, SQL, NLP, AWS, Excel, Java, Power BI, Airflow",8,49,0,High
Data Analyst,PhonePe,Gurgaon,Senior,"PyTorch, NLP, Hadoop, MLflow, Airflow, Computer Vision, SQL",7,34,0,High
Data Engineer,Microsoft,Gurgaon,Mid,"MongoDB, Statistics, TensorFlow, GCP, Hadoop, Airflow, FastAPI",7,33,0,High
Data Analyst,Microsoft,Noida,Mid,"Statistics, Power BI, Spark",3,25,0,Mid
NLP Engineer,Google,Pune,Mid,"Kubernetes, MLflow, SQL, PyTorch, Docker, Hadoop, Deep Learning",7,29,0,High
Research Scientist,Paytm,Noida,Lead,"dbt, Java, Tableau",3,71,0,High
Business Analyst,Paytm,Gurgaon,Senior,"Git, Deep Learning, Statistics, MongoDB, MLflow",5,28,0,High
Data Engineer,PhonePe,Delhi,Senior,"AWS, GCP, PyTorch, MLflow, Excel, Hadoop, Kubernetes, Scala",8,35,0,High
Data Engineer,Ola,Delhi,Senior,"R, Java, GCP, Spark, NLP, Excel, Hadoop, Azure",8,39,0,High
Business Analyst,Razorpay,Pune,Mid,"Tableau, MongoDB, GCP, NLP",4,27,0,High
NLP Engineer,BYJU'S,Delhi,Mid,"Kubernetes, FastAPI, Hadoop, Spark, TensorFlow, Scala, Statistics, GCP",8,20,0,Mid
Data Scientist,Flipkart,Pune,Entry,"R, Docker, MLflow, Scala, Statistics",5,12,0,Mid
AI Engineer,Microsoft,Gurgaon,Mid,"SQL, TensorFlow, FastAPI, Tableau, Hadoop",5,26,0,High
AI Engineer,Amazon,Remote,Senior,"FastAPI, MLflow, AWS, PostgreSQL, PyTorch, Flask, Tableau, TensorFlow",8,44,1,High
AI Engineer,Flipkart,Bangalore,Senior,"Hadoop, Azure, TensorFlow",3,30,0,High
AI Engineer,Wipro,Mumbai,Mid,"FastAPI, Airflow, Machine Learning, Flask, TensorFlow, GCP, Excel, Tableau",8,18,0,Mid
Data Engineer,Zomato,Remote,Mid,"GCP, Excel, Deep Learning, Flask, NLP, Hadoop, Scala, Machine Learning",8,14,1,Mid
ML Engineer,TCS,Bangalore,Lead,"PyTorch, Excel, SQL, R, Docker, NLP, Machine Learning",7,54,0,High
NLP Engineer,Swiggy,Remote,Mid,"PostgreSQL, dbt, Hadoop, R",4,23,1,Mid
Data Engineer,Microsoft,Mumbai,Lead,"R, GCP, NLP, dbt, Spark, Airflow",6,73,0,High
Data Scientist,Flipkart,Chennai,Mid,"PostgreSQL, AWS, Statistics, Machine Learning, Airflow",5,22,0,Mid
Business Analyst,Flipkart,Pune,Mid,"PyTorch, Statistics, R, Docker, PostgreSQL",5,15,0,Mid
Business Analyst,Google,Gurgaon,Mid,"Machine Learning, dbt, Flask, TensorFlow",4,29,0,High
Data Engineer,Ola,Gurgaon,Entry,"Spark, Power BI, Deep Learning, NLP",4,12,0,Mid
Data Scientist,Microsoft,Hyderabad,Senior,"Spark, Docker, Hadoop, Machine Learning",4,46,0,High
Data Scientist,Zomato,Hyderabad,Mid,"Git, GCP, Statistics, NLP, R, AWS, Azure, Python",8,16,0,Mid
AI Engineer,Microsoft,Bangalore,Mid,"Tableau, MongoDB, PyTorch, Excel, Computer Vision, Docker, TensorFlow",7,31,0,High
Data Scientist,Infosys,Hyderabad,Senior,"Tableau, Scala, MongoDB, Kubernetes, Python, PostgreSQL, MLflow",7,33,0,High
Data Scientist,Meesho,Delhi,Senior,"MLflow, Computer Vision, Flask, Python, FastAPI, Tableau",6,35,0,High
AI Engineer,Swiggy,Hyderabad,Entry,"PostgreSQL, Tableau, Kubernetes, MLflow, Power BI, SQL",6,13,0,Mid
Data Scientist,Ola,Bangalore,Senior,"MongoDB, Machine Learning, Statistics",3,33,0,High
Data Scientist,PhonePe,Gurgaon,Entry,"NLP, Spark, dbt, Hadoop, FastAPI, TensorFlow",6,16,0,Mid
Data Scientist,Google,Bangalore,Senior,"GCP, Airflow, Java, Statistics, Kubernetes, PostgreSQL, Git",7,41,0,High
Data Engineer,Swiggy,Noida,Senior,"Hadoop, Computer Vision, FastAPI, PostgreSQL, Azure, MLflow",6,20,0,Mid
Research Scientist,Amazon,Noida,Entry,"Python, Docker, MLflow",3,19,0,Mid
AI Engineer,Flipkart,Chennai,Senior,"GCP, NLP, TensorFlow, PostgreSQL, Computer Vision, Git",6,35,0,High
ML Engineer,Ola,Pune,Entry,"dbt, GCP, TensorFlow, Docker",4,15,0,Mid
Data Engineer,PhonePe,Hyderabad,Lead,"Azure, Java, GCP, PyTorch",4,45,0,High
Data Analyst,BYJU'S,Remote,Senior,"Azure, Java, FastAPI, Deep Learning, SQL, Power BI",6,37,1,High
Data Analyst,BYJU'S,Chennai,Mid,"FastAPI, GCP, Power BI, Hadoop",4,18,0,Mid
AI Engineer,PhonePe,Delhi,Senior,"SQL, Kubernetes, Tableau, PyTorch, Git",5,44,0,High
Business Analyst,BYJU'S,Pune,Entry,"Power BI, Deep Learning, Machine Learning, Hadoop, R",5,3,0,Low
Business Analyst,Flipkart,Delhi,Lead,"FastAPI, Deep Learning, PyTorch, Statistics",4,67,0,High
NLP Engineer,Infosys,Bangalore,Senior,"GCP, SQL, Excel",3,33,0,High
ML Engineer,TCS,Delhi,Senior,"MLflow, Kubernetes, Flask, TensorFlow, Python",5,38,0,High
Research Scientist,Meesho,Chennai,Mid,"FastAPI, TensorFlow, Git, NLP, PyTorch",5,23,0,Mid
Data Analyst,Google,Hyderabad,Senior,"MongoDB, dbt, Scala, SQL, FastAPI",5,32,0,High
Data Engineer,BYJU'S,Bangalore,Lead,"Java, Power BI, Scala, SQL, Spark, PostgreSQL",6,40,0,High
Data Engineer,Google,Noida,Mid,"Hadoop, PostgreSQL, Power BI, Excel, Scala, MongoDB, Git",7,26,0,High
ML Engineer,Meesho,Delhi,Entry,"MLflow, Statistics, Azure",3,18,0,Mid
ML Engineer,BYJU'S,Mumbai,Senior,"FastAPI, Computer Vision, Azure, AWS, Java, Machine Learning",6,33,0,High
AI Engineer,Paytm,Gurgaon,Senior,"Scala, Java, SQL",3,38,0,High
Data Analyst,Google,Pune,Lead,"Deep Learning, SQL, PyTorch, Flask, Machine Learning, Python, Hadoop, Spark",8,45,0,High
AI Engineer,Paytm,Remote,Senior,"Azure, Python, Machine Learning, Computer Vision, TensorFlow, AWS, Spark, PyTorch",8,35,1,High
NLP Engineer,Zomato,Noida,Senior,"Docker, Python, MLflow, dbt, Scala, Machine Learning, GCP, Spark",8,36,0,High
AI Engineer,Wipro,Gurgaon,Entry,"PyTorch, GCP, Tableau, dbt",4,16,0,Mid
Business Analyst,Swiggy,Delhi,Mid,"Tableau, GCP, SQL, Python, Azure",5,15,0,Mid
Research Scientist,Amazon,Chennai,Entry,"Tableau, Excel, Scala, Docker, MongoDB, Java, R, Statistics",8,27,0,High
NLP Engineer,Amazon,Noida,Entry,"Hadoop, Spark, GCP, PyTorch, PostgreSQL, Deep Learning, Machine Learning, Python",8,21,0,Mid
AI Engineer,Razorpay,Hyderabad,Mid,"PostgreSQL, Hadoop, Deep Learning, TensorFlow, NLP, MLflow",6,22,0,Mid
NLP Engineer,Infosys,Pune,Senior,"GCP, Azure, MLflow, Hadoop, Git, Statistics, Deep Learning, PostgreSQL",8,31,0,High
Data Engineer,BYJU'S,Hyderabad,Lead,"AWS, FastAPI, MLflow",3,66,0,High
NLP Engineer,BYJU'S,Chennai,Entry,"Scala, MLflow, Statistics, Excel, PyTorch, Python",6,8,0,Low
Data Scientist,Google,Hyderabad,Mid,"Computer Vision, AWS, Git, Hadoop, dbt, Spark, Excel, R",8,26,0,High
AI Engineer,BYJU'S,Pune,Entry,"Excel, GCP, Machine Learning, Deep Learning, FastAPI, dbt, Kubernetes",7,16,0,Mid
Data Engineer,Swiggy,Gurgaon,Entry,"NLP, dbt, Deep Learning",3,11,0,Mid
AI Engineer,PhonePe,Chennai,Entry,"Computer Vision, MLflow, Statistics",3,14,0,Mid
Data Engineer,Zomato,Noida,Lead,"Java, Tableau, Airflow, Spark",4,53,0,High
NLP Engineer,Wipro,Delhi,Lead,"Python, Flask, Azure, Kubernetes, Machine Learning, Docker, Excel, Scala",8,58,0,High
Data Scientist,Meesho,Hyderabad,Entry,"FastAPI, Deep Learning, PostgreSQL",3,8,0,Low
NLP Engineer,Razorpay,Remote,Mid,"Flask, Git, Computer Vision, Deep Learning",4,32,1,High
ML Engineer,Microsoft,Bangalore,Lead,"Machine Learning, GCP, Python, TensorFlow, Kubernetes, Excel, Statistics",7,68,0,High
AI Engineer,Zomato,Bangalore,Entry,"Computer Vision, SQL, Python, PyTorch, Spark, Flask, R",7,18,0,Mid
Data Analyst,Amazon,Chennai,Mid,"Docker, TensorFlow, GCP, Computer Vision, Power BI, Flask, Hadoop, Python",8,23,0,Mid
Business Analyst,PhonePe,Hyderabad,Mid,"PyTorch, Git, Kubernetes, Excel",4,11,0,Mid
